,forecast,lower_ci,upper_ci
2024-11-01,128816688.27483083,41266777.912600294,216366598.63706136
2024-12-01,103044546.96066421,14592830.427179739,191496263.49414867
2025-01-01,134642419.4508916,43550584.35496116,225734254.54682207
2025-02-01,115137409.68407652,22507480.157299414,207767339.21085364
2025-03-01,108946835.20158893,15253116.971210688,202640553.43196717
2025-04-01,95108869.32492298,-1204432.39290677,191422171.04275274
2025-05-01,140321773.98397294,42893185.04200502,237750362.92594087
2025-06-01,126370114.9660137,27605882.357193843,225134347.57483357
2025-07-01,119149055.9603773,18022187.153442204,220275924.7673124
2025-08-01,134818950.13952953,32812076.46506776,236825823.8139913
2025-09-01,148652142.49450043,44997583.232004866,252306701.75699598
2025-10-01,144549755.01522282,38934729.64247595,250164780.38796967
2025-11-01,128141119.322761,12032844.899217129,244249393.74630487
2025-12-01,132326594.08515352,13493283.749616995,251159904.42069006
2026-01-01,137316742.68297267,15448478.507805452,259185006.85813987
2026-02-01,121868227.70988767,-1710786.0526209623,245447241.4723963
2026-03-01,136490483.11479747,10003485.370633602,262977480.85896134
2026-04-01,92749723.8041577,-36232254.102370664,221731701.7106861
2026-05-01,155020841.52863112,24325104.467904493,285716578.58935773
2026-06-01,148869837.25827992,15219898.098626986,282519776.41793287
2026-07-01,115332869.16930942,-20356724.381043866,251022462.71966273
2026-08-01,156239785.40534124,18713831.00684139,293765739.8038411
2026-09-01,164185025.14242217,23822159.839479953,304547890.44536436
2026-10-01,142886873.06655037,809463.5106035471,284964282.6224972
2026-11-01,153650542.5492885,-282181.711543113,307583266.8101201
2026-12-01,140666276.28688994,-16652732.68758741,297985285.2613673
2027-01-01,140649882.19581795,-19501121.36330527,300800885.75494117
2027-02-01,148140815.01590988,-15260596.295824587,311542226.32764435
2027-03-01,139020403.4934431,-27445086.356407076,305485893.3432933
2027-04-01,102586916.60811746,-66597561.82648769,271771395.0427226
2027-05-01,178830530.20492974,6495288.980743647,351165771.42911583
2027-06-01,148147298.78852904,-26972924.428528428,323267522.0055865
2027-07-01,131621451.17255434,-46169514.133169144,309412416.4782778
2027-08-01,175165647.0094254,-5635887.643909097,355967181.6627599
2027-09-01,163280695.89351285,-20085839.760888994,346647231.5479147
2027-10-01,164151016.37324068,-21872356.262410462,350174389.0088918
